mois,marche,ville,produit,prix_fcfa,quantite,total,collecteur
Avr,New-Bell,Douala,Manioc (kg),187.0,75,14025,Enquêteur_C
Avr,Marché Central,Yaoundé,Riz (1kg),515.0,31,15965,Enquêteur_C
Fév,Marché Biyem,Yaoundé,Arachide (kg),333.0,28,9324,Enquêteur_C
Mar,Marché Central,Yaoundé,Arachide (kg),633.0,55,34815,Enquêteur_A
Mai,Marché Biyem,Yaoundé,Sucre (1kg),505.0,98,49490,Enquêteur_C
Avr,Mokolo,Douala,Arachide (kg),814.0,95,77330,Enquêteur_B
Fév,Grand Marché,Bafoussam,Riz (1kg),496.0,12,5952,Enquêteur_A
Avr,Grand Marché,Bafoussam,Poisson fumé (kg),3899.0,78,304122,Enquêteur_B
Avr,Marché Biyem,Yaoundé,Poisson fumé (kg),3509.0,60,210540,Enquêteur_B
Mai,Marché Biyem,Yaoundé,Tomate (kg),323.0,94,30362,Enquêteur_A
Fév,Grand Marché,Bafoussam,Poisson fumé (kg),3194.0,91,290654,Enquêteur_B
Mai,Marché Biyem,Yaoundé,Riz (1kg),539.0,90,48510,Enquêteur_A
Mar,Marché Biyem,Yaoundé,Riz (1kg),588.0,33,19404,Enquêteur_C
Jan,Grand Marché,Bafoussam,Poisson fumé (kg),2730.0,13,35490,Enquêteur_B
Mai,Mokolo,Douala,Riz (1kg),552.0,12,6624,Enquêteur_C
Fév,Mokolo,Douala,Riz (1kg),360.0,36,12960,Enquêteur_A
Jan,Mokolo,Douala,Poulet (kg),,59,122425,Enquêteur_A
Avr,Grand Marché,Bafoussam,Sucre (1kg),590.0,93,54870,Enquêteur_B
Mai,Marché Biyem,Yaoundé,Poisson fumé (kg),3861.0,25,96525,Enquêteur_A
Avr,Grand Marché,Bafoussam,Tomate (kg),224.0,35,7840,Enquêteur_A
Jun,Marché Central,Yaoundé,Manioc (kg),149.0,65,9685,Enquêteur_B
Mar,Mokolo,Douala,Plantain (kg),416.0,84,34944,Enquêteur_C
Mar,Grand Marché,Bafoussam,Arachide (kg),592.0,26,15392,Enquêteur_B
Fév,Mvog-Mbi,Yaoundé,Igname (kg),391.0,8,3128,Enquêteur_B
Jun,New-Bell,Douala,Arachide (kg),683.0,77,52591,Enquêteur_A
Mai,Grand Marché,Bafoussam,Sucre (1kg),568.0,79,44872,Enquêteur_A
Jan,Mokolo,Douala,Huile (1L),1068.0,85,90780,Enquêteur_C
Fév,Grand Marché,Bafoussam,Arachide (kg),699.0,13,9087,Enquêteur_B
Fév,Mvog-Mbi,Yaoundé,Sucre (1kg),674.0,35,23590,Enquêteur_C
Avr,Marché Central,Yaoundé,Igname (kg),513.0,74,37962,Enquêteur_B
Fév,New-Bell,Douala,Sucre (1kg),426.0,57,24282,Enquêteur_C
Fév,Grand Marché,Bafoussam,Arachide (kg),642.0,18,11556,Enquêteur_A
Mai,Marché Central,Yaoundé,Sucre (1kg),679.0,79,53641,Enquêteur_C
Jan,Mvog-Mbi,Yaoundé,Riz (1kg),451.0,50,22550,Enquêteur_B
Avr,Grand Marché,Bafoussam,Poisson fumé (kg),3791.0,81,307071,Enquêteur_B
Avr,Marché Biyem,Yaoundé,Huile (1L),1499.0,8,11992,Enquêteur_A
Mai,Grand Marché,Bafoussam,Sucre (1kg),596.0,92,54832,Enquêteur_C
Mai,Mokolo,Douala,Plantain (kg),193.0,77,14861,Enquêteur_B
Fév,Sandaga,Douala,Huile (1L),1010.0,33,33330,Enquêteur_A
Mai,Mvog-Mbi,Yaoundé,Poulet (kg),3202.0,7,22414,Enquêteur_A
Jun,Grand Marché,Bafoussam,Riz (1kg),514.0,23,11822,Enquêteur_B
Mar,Grand Marché,Bafoussam,Poulet (kg),2533.0,91,230503,Enquêteur_A
Fév,Mvog-Mbi,Yaoundé,Riz (1kg),508.0,60,30480,Enquêteur_C
Fév,Sandaga,Douala,Huile (1L),908.0,62,56296,Enquêteur_A
Mar,Sandaga,Douala,Huile (1L),1300.0,6,7800,Enquêteur_B
Mar,New-Bell,Douala,Arachide (kg),,17,14110,Enquêteur_A
Fév,Marché Central,Yaoundé,Manioc (kg),135.0,12,1620,Enquêteur_A
Fév,Marché Biyem,Yaoundé,Poisson fumé (kg),3398.0,16,54368,Enquêteur_A
Jan,Sandaga,Douala,Igname (kg),304.0,77,23408,Enquêteur_A
Fév,Grand Marché,Bafoussam,Poulet (kg),2729.0,62,169198,Enquêteur_C
Avr,New-Bell,Douala,Poulet (kg),2928.0,16,46848,Enquêteur_B
Mar,Grand Marché,Bafoussam,Manioc (kg),174.0,9,1566,Enquêteur_A
Jan,Grand Marché,Bafoussam,Tomate (kg),193.0,68,13124,Enquêteur_A
Fév,Sandaga,Douala,Plantain (kg),393.0,23,9039,Enquêteur_C
Mai,Mvog-Mbi,Yaoundé,Poisson fumé (kg),,35,117460,Enquêteur_B
Avr,Marché Central,Yaoundé,Plantain (kg),386.0,27,10422,Enquêteur_B
Jan,Grand Marché,Bafoussam,Huile (1L),1289.0,76,97964,Enquêteur_A
Jun,Mfoundi,Yaoundé,Tomate (kg),318.0,32,10176,Enquêteur_C
Jan,Mfoundi,Yaoundé,Manioc (kg),171.0,68,11628,Enquêteur_C
